title,date_published,genre,director,actors,avg_vote,comb
get on up,2014-11-21,"Biography, Drama, Music",Tate Taylor,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Josh Hopkins, Brandon Mychal Smith, Tika Sumpter, Aunjanue Ellis, Tariq Trotter, Aloe Blacc",6.9,Chadwick Boseman  Nelsan Ellis  Dan Aykroyd  Viola Davis  Lennie James  Fred Melamed  Craig Robinson  Jill Scott  Octavia Spencer  Josh Hopkins  Brandon Mychal Smith  Tika Sumpter  Aunjanue Ellis  Tariq Trotter  Aloe Blacc Tate Taylor Biography  Drama  Music
paranormal activity: the marked ones,2014-01-01,"Horror, Mystery, Thriller",Christopher Landon,"Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Renee Victor, Noemi Gonzalez, David Saucedo, Gloria Sandoval, Richard Cabral, Carlos Pratts, Juan Vasquez, Carlos Romeo Arana Figuera, Molly Ephraim, Brent Gutierrez, Alonso Alvarez, Chris Puckett",5.0,Andrew Jacobs  Jorge Diaz  Gabrielle Walsh  Renee Victor  Noemi Gonzalez  David Saucedo  Gloria Sandoval  Richard Cabral  Carlos Pratts  Juan Vasquez  Carlos Romeo Arana Figuera  Molly Ephraim  Brent Gutierrez  Alonso Alvarez  Chris Puckett Christopher Landon Horror  Mystery  Thriller
mr. turner,2014-10-31,"Biography, Drama, History",Mike Leigh,"Timothy Spall, Paul Jesson, Dorothy Atkinson, Marion Bailey, Karl Johnson, Ruth Sheen, Sandy Foster, Amy Dawson, Lesley Manville, Martin Savage, Richard Bremmer, Niall Buggy, Fred Pearson, Tom Edden, Jamie Thomas King",6.8,Timothy Spall  Paul Jesson  Dorothy Atkinson  Marion Bailey  Karl Johnson  Ruth Sheen  Sandy Foster  Amy Dawson  Lesley Manville  Martin Savage  Richard Bremmer  Niall Buggy  Fred Pearson  Tom Edden  Jamie Thomas King Mike Leigh Biography  Drama  History
the last five years,2015-04-17,"Comedy, Drama, Musical",Richard LaGravenese,"Anna Kendrick, Jeremy Jordan, Tamara Mintz, Cassandra Inman, Kate Meltzer, Emma Meltzer, Bettina Bresnan, Charly Bivona, Alex Stebbins, Lily LaGravenese, Betina Joly, Upa Inspace, Lisa Herring, Nina Ordman, Robert Immerman",5.9,Anna Kendrick  Jeremy Jordan  Tamara Mintz  Cassandra Inman  Kate Meltzer  Emma Meltzer  Bettina Bresnan  Charly Bivona  Alex Stebbins  Lily LaGravenese  Betina Joly  Upa Inspace  Lisa Herring  Nina Ordman  Robert Immerman Richard LaGravenese Comedy  Drama  Musical
moscow never sleeps,2019-05-01,Drama,Johnny O'Reilly,"Anastasiya Shalonko, Yuriy Stoyanov, Aleksey Serebryakov, Lyubov Aksyonova, Evgenia Brik, Mikhail Efremov, Rustam Akhmadeev, Tamara Spiricheva, Oleg Dolin, Viktor Verzhbitskiy, Elena Safonova, Elena Babenko, Sergey Belov, Daniil Grubman, Pavel Khrulyov",5.6,Anastasiya Shalonko  Yuriy Stoyanov  Aleksey Serebryakov  Lyubov Aksyonova  Evgenia Brik  Mikhail Efremov  Rustam Akhmadeev  Tamara Spiricheva  Oleg Dolin  Viktor Verzhbitskiy  Elena Safonova  Elena Babenko  Sergey Belov  Daniil Grubman  Pavel Khrulyov Johnny O'Reilly Drama
star wars: episode vii - the force awakens,2015-12-17,"Action, Adventure, Sci-Fi",J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Lupita Nyong'o, Andy Serkis, Domhnall Gleeson, Anthony Daniels, Max von Sydow, Peter Mayhew, Gwendoline Christie, Joonas Suotamo",7.9,Harrison Ford  Mark Hamill  Carrie Fisher  Adam Driver  Daisy Ridley  John Boyega  Oscar Isaac  Lupita Nyong'o  Andy Serkis  Domhnall Gleeson  Anthony Daniels  Max von Sydow  Peter Mayhew  Gwendoline Christie  Joonas Suotamo J.J. Abrams Action  Adventure  Sci-Fi
aloft,2015-01-23,Drama,Claudia Llosa,"Jennifer Connelly, Cillian Murphy, Mélanie Laurent, William Shimell, Peter McRobbie, Andy Murray, Ian Tracey, Oona Chaplin, Winta McGrath, Zen McGrath, Judy Cook, Nancy Drake, Allan Wallace Dunkeld, Cam Gates, Erika Marxx",5.3,Jennifer Connelly  Cillian Murphy  Mélanie Laurent  William Shimell  Peter McRobbie  Andy Murray  Ian Tracey  Oona Chaplin  Winta McGrath  Zen McGrath  Judy Cook  Nancy Drake  Allan Wallace Dunkeld  Cam Gates  Erika Marxx Claudia Llosa Drama
burnt,2015-11-06,"Comedy, Drama",John Wells,"Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio, Omar Sy, Sam Keeley, Henry Goodman, Matthew Rhys, Stephen Campbell Moore, Emma Thompson, Uma Thurman, Lexie Benbow-Hart, Alicia Vikander, Lily James, Sarah Greene",6.6,Bradley Cooper  Sienna Miller  Daniel Brühl  Riccardo Scamarcio  Omar Sy  Sam Keeley  Henry Goodman  Matthew Rhys  Stephen Campbell Moore  Emma Thompson  Uma Thurman  Lexie Benbow-Hart  Alicia Vikander  Lily James  Sarah Greene John Wells Comedy  Drama
hotel transylvania 2,2015-10-16,"Animation, Comedy, Family",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Steve Buscemi, David Spade, Keegan-Michael Key, Asher Blinkoff, Fran Drescher, Molly Shannon, Megan Mullally, Nick Offerman, Dana Carvey, Rob Riggle, Mel Brooks",6.7,Adam Sandler  Andy Samberg  Selena Gomez  Kevin James  Steve Buscemi  David Spade  Keegan-Michael Key  Asher Blinkoff  Fran Drescher  Molly Shannon  Megan Mullally  Nick Offerman  Dana Carvey  Rob Riggle  Mel Brooks Genndy Tartakovsky Animation  Comedy  Family
la jalousie,2013-12-04,Drama,Philippe Garrel,"Louis Garrel, Anna Mouglalis, Rebecca Convenant, Olga Milshtein, Esther Garrel, Arthur Igual, Jérôme Huguet, Manon Kneusé, Eric Ruillat, Robert Bazil, Jean Pommier, Julien Lucas, Sofia Teillet, Florence Payros, Nicolas Thuet",6.4,Louis Garrel  Anna Mouglalis  Rebecca Convenant  Olga Milshtein  Esther Garrel  Arthur Igual  Jérôme Huguet  Manon Kneusé  Eric Ruillat  Robert Bazil  Jean Pommier  Julien Lucas  Sofia Teillet  Florence Payros  Nicolas Thuet Philippe Garrel Drama
billy lynn's long halftime walk,2017-02-10,"Action, Drama, Sport",Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee, Astro, Beau Knapp, Ismael Cruz Cordova, Barney Harris, Vin Diesel, Steve Martin, Chris Tucker, Kristen Stewart, Makenzie Leigh, Ben Platt, Bruce McKinnon",6.2,Joe Alwyn  Garrett Hedlund  Arturo Castro  Mason Lee  Astro  Beau Knapp  Ismael Cruz Cordova  Barney Harris  Vin Diesel  Steve Martin  Chris Tucker  Kristen Stewart  Makenzie Leigh  Ben Platt  Bruce McKinnon Ang Lee Action  Drama  Sport
jauja,2014-11-27,"Drama, Fantasy, Western",Lisandro Alonso,"Viggo Mortensen, Ghita Nørby, Viilbjørk Malling Agger, Esteban Bigliardi, Diego Roman, Adrián Fondari, Mariano Arce, Misael Saavedra, Brian Patterson",6.4,Viggo Mortensen  Ghita Nørby  Viilbjørk Malling Agger  Esteban Bigliardi  Diego Roman  Adrián Fondari  Mariano Arce  Misael Saavedra  Brian Patterson Lisandro Alonso Drama  Fantasy  Western
escobar: paradise lost,2015-08-21,"Crime, Drama, History",Andrea Di Stefano,"Benicio Del Toro, Josh Hutcherson, Brady Corbet, Claudia Traisac, Tenoch Huerta, Ana Girardot, Carlos Bardem, Lauren Ziemski, Manuel Antonio Gómez, Micke Moreno, Frank Spano, Elmis Castillo, Laura Londoño, Aaron Zebede, Juan Francisco Selles",6.5,Benicio Del Toro  Josh Hutcherson  Brady Corbet  Claudia Traisac  Tenoch Huerta  Ana Girardot  Carlos Bardem  Lauren Ziemski  Manuel Antonio Gómez  Micke Moreno  Frank Spano  Elmis Castillo  Laura Londoño  Aaron Zebede  Juan Francisco Selles Andrea Di Stefano Crime  Drama  History
the gunman,2015-03-20,"Action, Crime, Drama",Pierre Morel,"Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone, Mark Rylance, Idris Elba, Peter Franzén, Billy Billingham, Daniel Adegboyega, Ade Oyefeso, Alejandro Talavante, Florian Barisey, Ismael Tunkara, Amara Tunkara, Rachel Lascar",5.8,Sean Penn  Jasmine Trinca  Javier Bardem  Ray Winstone  Mark Rylance  Idris Elba  Peter Franzén  Billy Billingham  Daniel Adegboyega  Ade Oyefeso  Alejandro Talavante  Florian Barisey  Ismael Tunkara  Amara Tunkara  Rachel Lascar Pierre Morel Action  Crime  Drama
viva la libertà,2013-02-14,"Comedy, Drama",Roberto Andò,"Toni Servillo, Valerio Mastandrea, Valeria Bruni Tedeschi, Michela Cescon, Gianrico Tedeschi, Eric Nguyen, Andrea Renzi, Judith Davis, Brice Fournier, Paolo Bessegato, Giulia Andò, Alessandro Averone, Vincenzo Pirrotta, Giovanni Lombardo Radice, Antonio Gerardi",7.0,Toni Servillo  Valerio Mastandrea  Valeria Bruni Tedeschi  Michela Cescon  Gianrico Tedeschi  Eric Nguyen  Andrea Renzi  Judith Davis  Brice Fournier  Paolo Bessegato  Giulia Andò  Alessandro Averone  Vincenzo Pirrotta  Giovanni Lombardo Radice  Antonio Gerardi Roberto Andò Comedy  Drama
star wars: episode viii - the last jedi,2017-12-14,"Action, Adventure, Fantasy",Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Benicio Del Toro, Frank Oz",7.1,Mark Hamill  Carrie Fisher  Adam Driver  Daisy Ridley  John Boyega  Oscar Isaac  Andy Serkis  Lupita Nyong'o  Domhnall Gleeson  Anthony Daniels  Gwendoline Christie  Kelly Marie Tran  Laura Dern  Benicio Del Toro  Frank Oz Rian Johnson Action  Adventure  Fantasy
god's not dead,2014-03-21,Drama,Harold Cronk,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Willie Robertson, Korie Robertson, Hadeel Sittu, Paul Kwo, Trisha LaFache, Cory Oliver, Benjamin A. Onyango, Marco Khan, Cassidy Gifford, Jesse Wang, Lenore Banks",4.7,Kevin Sorbo  Shane Harper  David A.R. White  Dean Cain  Willie Robertson  Korie Robertson  Hadeel Sittu  Paul Kwo  Trisha LaFache  Cory Oliver  Benjamin A. Onyango  Marco Khan  Cassidy Gifford  Jesse Wang  Lenore Banks Harold Cronk Drama
blockers,2018-03-30,Comedy,Kay Cannon,"Leslie Mann, John Cena, Ike Barinholtz, Kathryn Newton, Geraldine Viswanathan, Gideon Adlon, Ramona Young, Graham Phillips, Miles Robbins, Jimmy Bellinger, Colton Dunn, Sarayu Blue, Gary Cole, Gina Gershon, June Diane Raphael",6.2,Leslie Mann  John Cena  Ike Barinholtz  Kathryn Newton  Geraldine Viswanathan  Gideon Adlon  Ramona Young  Graham Phillips  Miles Robbins  Jimmy Bellinger  Colton Dunn  Sarayu Blue  Gary Cole  Gina Gershon  June Diane Raphael Kay Cannon Comedy
miekkailija,2015-03-13,"Biography, Drama, History",Klaus Härö,"Märt Avandi, Ursula Ratasepp, Hendrik Toompere Sr., Liisa Koppel, Joonas Koff, Egert Kadastu, Ann-Lisett Rebane, Elbe Reiter, Jaak Prints, Kirill Käro, Lembit Ulfsak, Leida Rammo, Raimo Pass, Erkki Tikkan, Maria Avdjushko",7.2,Märt Avandi  Ursula Ratasepp  Hendrik Toompere Sr.  Liisa Koppel  Joonas Koff  Egert Kadastu  Ann-Lisett Rebane  Elbe Reiter  Jaak Prints  Kirill Käro  Lembit Ulfsak  Leida Rammo  Raimo Pass  Erkki Tikkan  Maria Avdjushko Klaus Härö Biography  Drama  History
arrival,2016-11-10,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma, Abigail Pniowsky, Julia Scarlett Dan, Jadyn Malone, Frank Schorpion, Lucas Chartier-Dessert, Christian Jadah, Lucy Van Oldenbarneveld, Andrew Shaver, Pat Kiely",7.9,Amy Adams  Jeremy Renner  Forest Whitaker  Michael Stuhlbarg  Mark O'Brien  Tzi Ma  Abigail Pniowsky  Julia Scarlett Dan  Jadyn Malone  Frank Schorpion  Lucas Chartier-Dessert  Christian Jadah  Lucy Van Oldenbarneveld  Andrew Shaver  Pat Kiely Denis Villeneuve Drama  Mystery  Sci-Fi
wonder,2017-12-01,"Drama, Family",Stephen Chbosky,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts, Mark Dozlaw, Rukiya Bernard, Jennifer March, Mandy Patinkin, Noah Jupe, Bryce Gheisar, Elle McKinnon, Daveed Diggs, Ty Consiglio, Kyle Breitkopf, James A Hughes",8.0,Jacob Tremblay  Owen Wilson  Izabela Vidovic  Julia Roberts  Mark Dozlaw  Rukiya Bernard  Jennifer March  Mandy Patinkin  Noah Jupe  Bryce Gheisar  Elle McKinnon  Daveed Diggs  Ty Consiglio  Kyle Breitkopf  James A Hughes Stephen Chbosky Drama  Family
the light between oceans,2016-11-01,"Drama, Romance",Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery, Jack Thompson, Thomas Unger, Jane Menelaus, Garry McDonald, Anthony Hayes, Benedict Hardie, Emily Barclay, Bryan Brown, Stephen Ure, Peter McCauley, Leon Ford",7.2,Michael Fassbender  Alicia Vikander  Rachel Weisz  Florence Clery  Jack Thompson  Thomas Unger  Jane Menelaus  Garry McDonald  Anthony Hayes  Benedict Hardie  Emily Barclay  Bryan Brown  Stephen Ure  Peter McCauley  Leon Ford Derek Cianfrance Drama  Romance
crimson peak,2015-10-16,"Drama, Fantasy, Horror",Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray, Emily Coutts, Alec Stockwell, Brigitte Robinson, Gillian Ferrier, Tamara Hope",6.5,Mia Wasikowska  Jessica Chastain  Tom Hiddleston  Charlie Hunnam  Jim Beaver  Burn Gorman  Leslie Hope  Doug Jones  Jonathan Hyde  Bruce Gray  Emily Coutts  Alec Stockwell  Brigitte Robinson  Gillian Ferrier  Tamara Hope Guillermo del Toro Drama  Fantasy  Horror
the second best exotic marigold hotel,2015-02-26,"Comedy, Drama",John Madden,"Dev Patel, Maggie Smith, Danny Mahoney, David Strathairn, Judi Dench, Bill Nighy, Celia Imrie, Ronald Pickup, Diana Hardcastle, Subhrajyoti Barat, Fiona Mollison, Zachary Coffin, Jayesh V. Kardak, Tina Desai, Shazad Latif",6.6,Dev Patel  Maggie Smith  Danny Mahoney  David Strathairn  Judi Dench  Bill Nighy  Celia Imrie  Ronald Pickup  Diana Hardcastle  Subhrajyoti Barat  Fiona Mollison  Zachary Coffin  Jayesh V. Kardak  Tina Desai  Shazad Latif John Madden Comedy  Drama
gap tung kei hap,2014-04-17,"Action, Comedy, History",Wing-Cheong Law,"Donnie Yen, Baoqiang Wang, Shengyi Huang, Kang Yu, Simon Yam, Suet Lam, Singh Hartihan Bitto, Mark Wu, Hoi-Pang Lo, Alice Chan, Ho-Man Chan, Siu Wah Chan, Jacqueline Chong, Andrew Dasz, Jeana Ho",4.8,Donnie Yen  Baoqiang Wang  Shengyi Huang  Kang Yu  Simon Yam  Suet Lam  Singh Hartihan Bitto  Mark Wu  Hoi-Pang Lo  Alice Chan  Ho-Man Chan  Siu Wah Chan  Jacqueline Chong  Andrew Dasz  Jeana Ho Wing-Cheong Law Action  Comedy  History
pacific rim: uprising,2018-03-23,"Action, Adventure, Sci-Fi",Steven S. DeKnight,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman, Charlie Day, Tian Jing, Jin Zhang, Adria Arjona, Rinko Kikuchi, Karan Brar, Wesley Wong, Ivanna Sakhno, Mackenyu, Lily Ji, Shyrley Rodriguez",5.6,John Boyega  Scott Eastwood  Cailee Spaeny  Burn Gorman  Charlie Day  Tian Jing  Jin Zhang  Adria Arjona  Rinko Kikuchi  Karan Brar  Wesley Wong  Ivanna Sakhno  Mackenyu  Lily Ji  Shyrley Rodriguez Steven S. DeKnight Action  Adventure  Sci-Fi
a million ways to die in the west,2014-05-30,"Comedy, Western",Seth MacFarlane,"Seth MacFarlane, Charlize Theron, Amanda Seyfried, Liam Neeson, Giovanni Ribisi, Neil Patrick Harris, Sarah Silverman, Christopher Hagen, Wes Studi, Matt Clark, Evan Jones, Aaron McPherson, Rex Linn, Brett Rickaby, Alex Borstein",6.1,Seth MacFarlane  Charlize Theron  Amanda Seyfried  Liam Neeson  Giovanni Ribisi  Neil Patrick Harris  Sarah Silverman  Christopher Hagen  Wes Studi  Matt Clark  Evan Jones  Aaron McPherson  Rex Linn  Brett Rickaby  Alex Borstein Seth MacFarlane Comedy  Western
get hard,2015-03-27,"Comedy, Crime",Etan Cohen,"Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie, Edwina Findley Dickerson, Ariana Neal, Erick Chavarria, T.I., Paul Ben-Victor, John Mayer, Jon Eyez, Nito Larioza, Dan Bakkedahl, Greg Germann, Ron Funches",6.0,Will Ferrell  Kevin Hart  Craig T. Nelson  Alison Brie  Edwina Findley Dickerson  Ariana Neal  Erick Chavarria  T.I.  Paul Ben-Victor  John Mayer  Jon Eyez  Nito Larioza  Dan Bakkedahl  Greg Germann  Ron Funches Etan Cohen Comedy  Crime
birdman or (the unexpected virtue of ignorance),2015-01-02,"Comedy, Drama",Alejandro G. Iñárritu,"Michael Keaton, Emma Stone, Kenny Chin, Jamahl Garrison-Lowe, Zach Galifianakis, Naomi Watts, Jeremy Shamos, Andrea Riseborough, Katherine O'Sullivan, Damian Young, Keenan Shimizu, Akira Ito, Natalie Gold, Merritt Wever, Edward Norton",7.7,Michael Keaton  Emma Stone  Kenny Chin  Jamahl Garrison-Lowe  Zach Galifianakis  Naomi Watts  Jeremy Shamos  Andrea Riseborough  Katherine O'Sullivan  Damian Young  Keenan Shimizu  Akira Ito  Natalie Gold  Merritt Wever  Edward Norton Alejandro G. Iñárritu Comedy  Drama
seoul searching,2017-12-15,"Comedy, Drama, Music",Benson Lee,"Justin Chon, Jessika Van, In-Pyo Cha, Teo Yoo, Esteban Ahn, Rosalina Lee, Albert Kong, Heejun Han, Crystal Kay, Nekhebet Kum Juch, Uatchet Jin Juch, Sue Son, Gwi-hwa Choi, Seong-guk Choi, David Lee McInnis",7.1,Justin Chon  Jessika Van  In-Pyo Cha  Teo Yoo  Esteban Ahn  Rosalina Lee  Albert Kong  Heejun Han  Crystal Kay  Nekhebet Kum Juch  Uatchet Jin Juch  Sue Son  Gwi-hwa Choi  Seong-guk Choi  David Lee McInnis Benson Lee Comedy  Drama  Music
alice through the looking glass,2016-05-27,"Adventure, Family, Fantasy",James Bobin,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway, Sacha Baron Cohen, Rhys Ifans, Matt Lucas, Lindsay Duncan, Leo Bill, Geraldine James, Andrew Scott, Richard Armitage, Ed Speleers, Alan Rickman, Timothy Spall",6.2,Johnny Depp  Mia Wasikowska  Helena Bonham Carter  Anne Hathaway  Sacha Baron Cohen  Rhys Ifans  Matt Lucas  Lindsay Duncan  Leo Bill  Geraldine James  Andrew Scott  Richard Armitage  Ed Speleers  Alan Rickman  Timothy Spall James Bobin Adventure  Family  Fantasy
going in style,2017-04-07,"Comedy, Crime",Zach Braff,"Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon, Joey King, Christopher Lloyd, Maria Dizzia, Morgan Freeman, John Ortiz, Siobhan Fallon Hogan, Peter Serafinowicz, Kenan Thompson, Josh Pais, Richie Moriarty, Seth Barrish",6.6,Michael Caine  Alan Arkin  Ann-Margret  Matt Dillon  Joey King  Christopher Lloyd  Maria Dizzia  Morgan Freeman  John Ortiz  Siobhan Fallon Hogan  Peter Serafinowicz  Kenan Thompson  Josh Pais  Richie Moriarty  Seth Barrish Zach Braff Comedy  Crime
the duke of burgundy,2015-02-20,"Drama, Mystery, Romance",Peter Strickland,"Chiara D'Anna, Kata Bartsch, Sidse Babett Knudsen, Monica Swinn, Zita Kraszkó, Gretchen Meddaugh, Eszter Tompa, Fatma Mohamed, Eugenia Caruso",6.5,Chiara D'Anna  Kata Bartsch  Sidse Babett Knudsen  Monica Swinn  Zita Kraszkó  Gretchen Meddaugh  Eszter Tompa  Fatma Mohamed  Eugenia Caruso Peter Strickland Drama  Mystery  Romance
kaguyahime no monogatari,2015-03-20,"Animation, Adventure, Drama",Isao Takahata,"Aki Asakura, Kengo Kôra, Takeo Chii, Nobuko Miyamoto, Atsuko Takahata, Tomoko Tabata, Shinosuke Tatekawa, Takaya Kamikawa, Hikaru Ijûin, Ryûdô Uzaki, Shichinosuke Nakamura, Isao Hashizume, Mirai Uchida, Fubomichi Takazawa, Reigo Mizoguchi",8.0,Aki Asakura  Kengo Kôra  Takeo Chii  Nobuko Miyamoto  Atsuko Takahata  Tomoko Tabata  Shinosuke Tatekawa  Takaya Kamikawa  Hikaru Ijûin  Ryûdô Uzaki  Shichinosuke Nakamura  Isao Hashizume  Mirai Uchida  Fubomichi Takazawa  Reigo Mizoguchi Isao Takahata Animation  Adventure  Drama
life after beth,2014-10-03,"Comedy, Fantasy, Horror",Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon, Cheryl Hines, Paul Reiser, Matthew Gray Gubler, Anna Kendrick, Eva La Dare, Thomas McDonell, Alia Shawkat, Allan McLeod, Paul Weitz, Michelle Azar, Jim O'Heir",5.6,Aubrey Plaza  Dane DeHaan  John C. Reilly  Molly Shannon  Cheryl Hines  Paul Reiser  Matthew Gray Gubler  Anna Kendrick  Eva La Dare  Thomas McDonell  Alia Shawkat  Allan McLeod  Paul Weitz  Michelle Azar  Jim O'Heir Jeff Baena Comedy  Fantasy  Horror
me and earl and the dying girl,2015-09-04,"Comedy, Drama, Romance",Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman, Connie Britton, Molly Shannon, Jon Bernthal, Matt Bennett, Katherine Hughes, Masam Holden, Bobb'e J. Thompson, Gavin Dietz, Edward DeBruce III, Natalie Marchelletta, Chelsea Zhang",7.7,Thomas Mann  RJ Cyler  Olivia Cooke  Nick Offerman  Connie Britton  Molly Shannon  Jon Bernthal  Matt Bennett  Katherine Hughes  Masam Holden  Bobb'e J. Thompson  Gavin Dietz  Edward DeBruce III  Natalie Marchelletta  Chelsea Zhang Alfonso Gomez-Rejon Comedy  Drama  Romance
shut in,2016-11-30,"Drama, Mystery, Thriller",Farren Blackburn,"Naomi Watts, Oliver Platt, Charlie Heaton, Jacob Tremblay, Clémentine Poidatz, Alex Braunstein, David Cubitt, Crystal Balint, Ellen David, Tim Post, Peter Outerbridge, Anton Chevrier, Thomas Macedo",4.7,Naomi Watts  Oliver Platt  Charlie Heaton  Jacob Tremblay  Clémentine Poidatz  Alex Braunstein  David Cubitt  Crystal Balint  Ellen David  Tim Post  Peter Outerbridge  Anton Chevrier  Thomas Macedo Farren Blackburn Drama  Mystery  Thriller
hell or high water,2016-09-09,"Action, Crime, Drama",David Mackenzie,"Dale Dickey, Ben Foster, Chris Pine, William Sterchi, Buck Taylor, Kristin K. Berg, Jeff Bridges, Gil Birmingham, Keith Meriweather, Jackamoe Buzzell, Katy Mixon, Amber Midthunder, Joe Berryman, Taylor Sheridan, Howard Ferguson Jr.",7.6,Dale Dickey  Ben Foster  Chris Pine  William Sterchi  Buck Taylor  Kristin K. Berg  Jeff Bridges  Gil Birmingham  Keith Meriweather  Jackamoe Buzzell  Katy Mixon  Amber Midthunder  Joe Berryman  Taylor Sheridan  Howard Ferguson Jr. David Mackenzie Action  Crime  Drama
whiplash,2015-01-16,"Drama, Music",Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch, Charlie Ian, Jayson Blair, Kofi Siriboe, Kavita Patil, C.J. Vana",8.5,Miles Teller  J.K. Simmons  Paul Reiser  Melissa Benoist  Austin Stowell  Nate Lang  Chris Mulkey  Damon Gupton  Suanne Spoke  Max Kasch  Charlie Ian  Jayson Blair  Kofi Siriboe  Kavita Patil  C.J. Vana Damien Chazelle Drama  Music
